abind
ade4
adehabitatHR
adehabitatLT
adehabitatMA
afex
akima
Amelia
ape
askpass
assertthat
audio
av
backports
base
base64enc
BayesFactor
bayestestR
bayesutils
BBmisc
bbmle
bdsmatrix
beepr
BH
BIEN
biomod2
bitops
blob
boot
brew
bridgesampling
brio
Brobdingnag
broom
bslib
BWStest
cachem
Cairo
callr
car
carData
caret
cartogram
cellranger
checkmate
circlize
CircStats
class
classInt
cli
clipr
cluster
coda
codetools
colorspace
colourpicker
colourvalues
combinat
commonmark
compiler
conditionz
conflicted
conquer
contfrac
correlation
corrplot
covr
cowplot
cpp11
cramer
crayon
credentials
crosstalk
crul
curl
data.table
datasets
DBI
dbplyr
deldir
dendextend
Deriv
desc
deSolve
devtools
dials
DiceDesign
dichromat
diffobj
digest
dismo
doParallel
doSNOW
dotCall64
dplyr
DT
dtplyr
e1071
earth
ecbtools
ecodist
ecospat
effectsize
ellipse
ellipsis
elliptic
ENMeval
entropy
ethnobotanyR
evaluate
exactextractr
expm
extrafont
extrafontdb
factoextra
FactoMineR
fansi
farver
fasterize
fastGHQuad
fastmap
fastmatch
fBasics
fields
filehash
flashClust
FNN
forcats
foreach
foreign
Formula
formula.tools
fs
furrr
future
gam
gapminder
gargle
gbm
gdata
gdistance
gdtools
generics
geojsonsf
geometries
geosphere
gert
ggalluvial
gganimate
ggcorrplot
ggExtra
ggforce
ggmap
ggplot2
ggpubr
ggraph
ggrepel
ggridges
ggsci
ggsignif
ggspatial
ggstatsplot
ggthemes
gh
gifski
gitcreds
glmnet
GlobalOptions
globals
glue
gmodels
gmp
goftest
googledrive
googlePolylines
googlesheets4
googleVis
gower
GPfit
graphics
graphlayouts
grDevices
grid
gridExtra
gss
gstat
gtable
gtools
gutenbergr
hardhat
haven
hexbin
highcharter
highr
Hmisc
hms
htmlTable
htmltools
htmlwidgets
httpcode
httpuv
httr
hunspell
hypergeo
ids
igraph
indicspecies
infer
ini
inline
insight
installr
intervals
ipmisc
ipred
ISLR
isoband
iterators
janeaustenr
janitor
jpeg
jquerylib
jsonify
jsonlite
kernlab
KernSmooth
kknn
knitr
ks
kSamples
labeling
LaplacesDemon
later
lattice
latticeExtra
lava
lazyeval
leafem
leaflet
leaflet.extras
leaflet.extras2
leaflet.providers
leafpop
leafsync
leaps
LearnBayes
lhs
lifecycle
link2GI
listenv
lme4
lmerTest
logspline
loo
lubridate
lwgeom
magick
magrittr
mapdeck
mapproj
maps
mapsf
maptiles
maptools
mapview
markdown
MASS
Matrix
MatrixModels
matrixStats
maxnet
mc2d
mclust
mda
memoise
metaBMA
metafor
metaplus
methods
mgcv
mime
miniUI
minqa
misc3d
mlbench
mlr
mmap
mnormt
modeldata
ModelMetrics
modelr
modeltools
moderndive
MODISTools
mraster
multcomp
multcompView
multicool
munsell
mvtnorm
mypackage
nabor
ncdf4
NHANES
nlme
nloptr
NLP
nnet
nortest
numDeriv
nycflights13
oai
openssl
openxlsx
operator.tools
osmdata
packcircles
packrat
pairwiseComparisons
paletteer
palmerpenguins
parallel
parallelly
parallelMap
parameters
ParamHelpers
parsnip
patchwork
pbapply
pbkrtest
performance
PerformanceAnalytics
permute
pgirmess
pillar
pixmap
pkgbuild
pkgconfig
pkgload
plot3D
plotly
plotmo
plotrix
plyr
PMCMRplus
png
poibin
polspline
polyclip
polynom
praise
PresenceAbsence
prettymapr
prettyunits
prismatic
pROC
processx
prodlim
progress
promises
proxy
ps
psych
purrr
quadprog
quantmod
quantreg
R.methodsS3
R.oo
R.utils
R6
randomForest
ranger
rapidjsonr
rappdirs
raster
rasterVis
rbison
rcmdcheck
RColorBrewer
Rcpp
RcppArmadillo
RcppEigen
RcppParallel
RCurl
readr
readxl
rebird
recipes
rematch
rematch2
remotes
repr
reprex
reshape
reshape2
reticulate
rex
rgbif
rgdal
rgeos
RgoogleMaps
rgrass7
ridigbio
rio
rJava
rjson
rlang
rlist
rmarkdown
Rmpfr
rms
rnaturalearth
rosm
roxygen2
rpart
RPostgreSQL
rprojroot
RSAGA
rsample
rsconnect
RSNNS
rsq
rstan
rstantools
rstatix
rstudioapi
rsvg
Rttf2pt1
rversions
rvertnet
rvest
sabre
sandwich
sass
satellite
scales
scatterplot3d
sdm
sdmpredictors
selectr
sessioninfo
sf
sfheaders
shape
shapefiles
shiny
shinyBS
shinyjs
shinythemes
skimr
slam
slider
slippymath
sm
snakecase
snow
SnowballC
snowfall
sourcetools
sp
spacetime
spam
SparseM
spatial
spatialwidget
spatstat
spatstat.core
spatstat.data
spatstat.geom
spatstat.linnet
spatstat.sparse
spatstat.utils
spData
spDataLarge
spdep
splancs
splines
spocc
spThin
SQUAREM
stabledist
StanHeaders
stars
statmod
stats
stats4
statsExpressions
stringi
stringr
SuppDists
survival
svglite
sys
systemfonts
tcltk
TeachingDemos
tensor
terra
testthat
textdata
TH.data
tibble
tidycensus
tidygraph
tidymodels
tidyr
tidyselect
tidytext
tidyverse
tigris
timeDate
timeSeries
tinytex
tm
tmap
tmaptools
tmvnsim
tokenizers
tools
topicmodels
translations
tree
triebeard
TTR
tune
tweenr
units
urltools
usdm
usethis
utf8
utils
uuid
V8
vctrs
vegan
vioplot
viridis
viridisLite
waldo
wallace
warp
webshot
wellknown
whisker
widgetframe
withr
wk
wordcloud
wordcloud2
workflows
workflowsets
WRS2
xfun
XML
xml2
xopen
xtable
xts
yaml
yardstick
zeallot
zip
zoo
